# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T02:45:40.368
# DATE-END: 2026-01-17T02:45:40.512
# TSTART: 1768617940367.88
# TSTOP: 1768617940397.89
# DATE: 2026-01-17T02:45:41
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.113133204158
# DEC: 38.7107891324166
# EQUINOX: 2000.0
# CRVAL1: 166.113133204158
# CRVAL2: 38.7107891324166
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000582677004548263
# CD1_2: 0.00172448577520088
# CD2_1: -0.00173176060710917
# CD2_2: 0.000583607211613421
# A_ORDER: 2
# A_0_2: 1.16207369016626e-06
# A_1_1: -7.65857356303145e-07
# A_2_0: -5.37115261190631e-07
# B_ORDER: 2
# B_0_2: -4.12530681646643e-06
# B_1_1: 1.24982179929607e-06
# B_2_0: 1.26488618331585e-07
# AP_ORDER: 2
# AP_0_0: -0.000101741746246612
# AP_0_1: -6.27366756034154e-06
# AP_0_2: -1.16149935656841e-06
# AP_1_0: 2.64559724929379e-06
# AP_1_1: 7.65617084593249e-07
# AP_2_0: 5.37085556768926e-07
# BP_ORDER: 2
# BP_0_0: 0.000418479631181808
# BP_0_1: 2.25548510402463e-05
# BP_0_2: 4.12333604763717e-06
# BP_1_0: -5.74577967345314e-06
# BP_1_1: -1.24914490474041e-06
# BP_2_0: -1.26494712950094e-07
# NOME_FILE_FITS: 20260117_024540.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000018_stelle_trovate_e_catalogate_immagine_007.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,473.5112020453635,829.9995742497476,164.86551238932498,40.4299809528989,26.0,39.0,NO,1316,282.92505456790946,270.77239243511286,269.91,4.05,270.77239243511286,270.03,4.08,246.7519074728221,251.19,4.25,3.5,run_00000018,7,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,274.34,273.24,4.06,3.7
RA_164.865__DEC_40.434,473.5112020453635,829.9995742497476,164.86551238932498,40.4299809528989,26.0,39.0,NO,1315,282.92505456790946,270.77239243511286,270.08,4.05,270.77239243511286,270.20,4.08,246.7519074728221,251.43,4.24,3.5,run_00000018,7,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,274.56,273.60,4.07,3.71
RA_164.865__DEC_40.434,473.5112020453635,829.9995742497476,164.86551238932498,40.4299809528989,26.0,39.0,NO,1314,282.92505456790946,270.77239243511286,270.08,4.05,270.77239243511286,270.20,4.08,246.7519074728221,251.43,4.24,3.5,run_00000018,7,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,274.56,273.60,4.07,3.71
RA_164.865__DEC_40.434,473.5112020453635,829.9995742497476,164.86551238932498,40.4299809528989,26.0,39.0,NO,1313,282.92505456790946,270.77239243511286,270.08,4.05,270.77239243511286,270.20,4.08,246.7519074728221,251.43,4.24,3.5,run_00000018,7,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,274.56,273.60,4.07,3.71
RA_164.865__DEC_40.434,473.5112020453635,829.9995742497476,164.86551238932498,40.4299809528989,26.0,39.0,NO,1308,282.92505456790946,270.77239243511286,269.91,4.05,270.77239243511286,270.03,4.08,246.7519074728221,251.19,4.25,3.5,run_00000018,7,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,274.34,273.24,4.06,3.7
RA_164.865__DEC_40.434,473.5112020453635,829.9995742497476,164.86551238932498,40.4299809528989,26.0,39.0,NO,1314,282.92505456790946,270.77239243511286,269.57,4.07,270.77239243511286,269.69,4.10,246.7519074728221,250.92,4.27,3.5,run_00000018,7,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,274.34,272.87,4.09,3.7
RA_164.865__DEC_40.434,473.5112020453635,829.9995742497476,164.86551238932498,40.4299809528989,26.0,39.0,NO,1315,282.92505456790946,270.77239243511286,269.91,4.05,270.77239243511286,270.03,4.08,246.7519074728221,251.19,4.25,3.5,run_00000018,7,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,274.34,273.24,4.06,3.7
RA_164.865__DEC_40.434,473.5112020453635,829.9995742497476,164.86551238932498,40.4299809528989,26.0,39.0,NO,1274,282.92505456790946,270.77239243511286,270.20,4.08,270.77239243511286,270.33,4.11,246.7519074728221,251.46,4.29,3.5,run_00000018,7,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,274.45,273.65,4.09,3.7
RA_164.889DEC36.087,2719.236473649836,52.34917128752025,164.88845135151936,36.08340805103683,14.0,15.0,NO,1128,144.85889825300524,136.95850889769292,131.69,5.02,136.95850889769292,131.92,5.12,101.17318788100768,91.80,6.25,3.5,run_00000018,7,SI (Rank 1),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,137.7,132.45,4.94,3.57
RA_164.889DEC36.087,2719.236473649836,52.34917128752025,164.88845135151936,36.08340805103683,14.0,15.0,NO,1127,144.85889825300524,136.95850889769292,131.69,5.02,136.95850889769292,131.92,5.12,101.17318788100768,91.80,6.25,3.5,run_00000018,7,SI (Rank 2),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,137.7,132.45,4.94,3.57
RA_165.211__DEC_39.212,1151.683622517772,747.5930521351848,165.21306881359,39.20985129497457,29.0,62.0,NO,1798,318.4413150134191,303.6622064684136,283.77,3.84,303.6622064684136,283.84,3.85,289.0043164178299,269.55,4.14,3.5,run_00000018,7,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,303.66,283.77,3.84,3.5
RA_165.211__DEC_39.212,1151.683622517772,747.5930521351848,165.21306881359,39.20985129497457,29.0,62.0,NO,1796,318.4413150134191,303.6622064684136,283.77,3.84,303.6622064684136,283.84,3.85,289.0043164178299,269.55,4.14,3.5,run_00000018,7,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,303.66,283.77,3.84,3.5
RA_165.211__DEC_39.212,1151.683622517772,747.5930521351848,165.21306881359,39.20985129497457,29.0,62.0,NO,1796,318.4413150134191,303.6622064684136,283.77,3.84,303.6622064684136,283.84,3.85,289.0043164178299,269.55,4.14,3.5,run_00000018,7,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,303.66,283.77,3.84,3.5
RA_166.129__DEC_38.242,1780.9725497988372,947.5038470800436,166.13122543629188,38.24019670973944,10.0,25.0,NO,1807,101.367132849422,101.8421534495188,111.75,1.89,101.8421534495188,111.75,1.89,78.59638718358426,87.70,2.10,3.5,run_00000018,7,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,101.84,111.75,1.89,3.5
RA_166.129__DEC_38.242,1780.9725497988372,947.5038470800436,166.13122543629188,38.24019670973944,10.0,25.0,NO,1807,101.367132849422,101.8421534495188,111.75,1.89,101.8421534495188,111.75,1.89,78.59638718358426,87.70,2.10,3.5,run_00000018,7,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,101.84,111.75,1.89,3.5
RA_166.129__DEC_38.242,1780.9725497988372,947.5038470800436,166.13122543629188,38.24019670973944,10.0,25.0,NO,1807,101.367132849422,101.8421534495188,111.75,1.89,101.8421534495188,111.75,1.89,78.59638718358426,87.70,2.10,3.5,run_00000018,7,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,101.84,111.75,1.89,3.5
RA_166.129__DEC_38.242,1780.9725497988372,947.5038470800436,166.13122543629188,38.24019670973944,10.0,25.0,NO,1807,101.367132849422,101.8421534495188,111.75,1.89,101.8421534495188,111.75,1.89,78.59638718358426,87.70,2.10,3.5,run_00000018,7,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,101.84,111.75,1.89,3.5
RA_166.129__DEC_38.242,1780.9725497988372,947.5038470800436,166.13122543629188,38.24019670973944,10.0,25.0,NO,1807,101.367132849422,101.8421534495188,111.75,1.89,101.8421534495188,111.75,1.89,78.59638718358426,87.70,2.10,3.5,run_00000018,7,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,101.84,111.75,1.89,3.5
RA_166.129__DEC_38.242,1780.9725497988372,947.5038470800436,166.13122543629188,38.24019670973944,10.0,25.0,NO,1807,101.367132849422,101.8421534495188,111.75,1.89,101.8421534495188,111.75,1.89,78.59638718358426,87.70,2.10,3.5,run_00000018,7,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,101.84,111.75,1.89,3.5
RA_166.129__DEC_38.242,1780.9725497988372,947.5038470800436,166.13122543629188,38.24019670973944,10.0,25.0,NO,1807,101.367132849422,101.8421534495188,111.75,1.89,101.8421534495188,111.75,1.89,78.59638718358426,87.70,2.10,3.5,run_00000018,7,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,101.84,111.75,1.89,3.5
RA_166.129__DEC_38.242,1780.9725497988372,947.5038470800436,166.13122543629188,38.24019670973944,10.0,25.0,NO,1807,101.367132849422,101.8421534495188,111.75,1.89,101.8421534495188,111.75,1.89,78.59638718358426,87.70,2.10,3.5,run_00000018,7,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,101.84,111.75,1.89,3.5
RA_166.129__DEC_38.242,1780.9725497988372,947.5038470800436,166.13122543629188,38.24019670973944,10.0,25.0,NO,1807,101.367132849422,101.8421534495188,111.75,1.89,101.8421534495188,111.75,1.89,78.59638718358426,87.70,2.10,3.5,run_00000018,7,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,101.84,111.75,1.89,3.5
RA_167.329__DEC_36.312,2950.300761754881,1113.537715603154,167.33050838959542,36.30955633508395,29.0,22.0,NO,1708,288.2303733624925,255.8745638204496,223.59,3.93,257.56768715866593,224.49,3.96,221.06496685441303,187.62,3.82,4.061820932395876,run_00000018,7,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,257.72,232.50,3.63,4.07
RA_167.329__DEC_36.312,2950.300761754881,1113.537715603154,167.33050838959542,36.30955633508395,29.0,22.0,NO,1705,288.2303733624925,255.8745638204496,223.54,3.98,257.56768715866593,224.44,4.02,221.06496685441303,187.58,3.87,4.061820932395876,run_00000018,7,SI (Rank 2),II/389/ps1_dr2,1.515716732746127e+17,167.32759079,36.31021643,7.0301,257.76,232.50,3.68,4.07
RA_167.329__DEC_36.312,2950.300761754881,1113.537715603154,167.33050838959542,36.30955633508395,29.0,22.0,NO,1702,288.2303733624925,255.8745638204496,223.98,3.96,257.56768715866593,224.88,4.00,221.06496685441303,188.00,3.85,4.061820932395876,run_00000018,7,SI (Rank 3),II/389/ps1_dr2,1.5156167327749856e+17,167.3279408,36.3066183,12.6978,257.76,232.91,3.66,4.07
RA_167.329__DEC_36.312,2950.300761754881,1113.537715603154,167.33050838959542,36.30955633508395,29.0,22.0,NO,1705,288.2303733624925,255.8745638204496,223.37,3.98,257.56768715866593,224.27,4.01,221.06496685441303,187.58,3.87,4.061820932395876,run_00000018,7,SI (Rank 4),II/389/ps1_dr2,1.515716733020705e+17,167.33020443,36.30815493,12.7953,257.76,232.37,3.67,4.07
RA_167.329__DEC_36.312,2950.300761754881,1113.537715603154,167.33050838959542,36.30955633508395,29.0,22.0,NO,1700,288.2303733624925,255.8745638204496,225.16,3.93,257.56768715866593,226.09,3.96,221.06496685441303,189.13,3.80,4.061820932395876,run_00000018,7,SI (Rank 5),II/389/ps1_dr2,1.515716732886958e+17,167.32895151,36.31250412,14.3866,257.83,234.28,3.59,4.08
